case,tick,time_s,python_duty_cmd,c_duty_cmd,error_duty_cmd,python_vref_cmd_v,c_vref_cmd_v,error_vref_cmd_v,python_integrator,c_integrator,error_integrator,python_state,c_state,python_latched_fault,c_latched_fault,python_pwm_enable,c_pwm_enable
steady_12v,14320,0.07160000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14340,0.07170000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14360,0.07180000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14380,0.0719,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14400,0.07200000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14420,0.07210000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14440,0.07220000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14460,0.07230000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14480,0.0724,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14500,0.07250000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14520,0.07260000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14540,0.07270000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14560,0.07280000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14580,0.0729,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14600,0.07300000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14620,0.07310000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14640,0.07320000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14660,0.07330000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14680,0.0734,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14700,0.07350000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14720,0.07360000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14740,0.07370000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14760,0.07380000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14780,0.07390000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14800,0.07400000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14820,0.07410000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14840,0.07420000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14860,0.07430000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14880,0.07440000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14900,0.07450000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14920,0.07460000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14940,0.07470000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14960,0.07480000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14980,0.07490000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14999,0.074995,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
soft_start_40ms,0,0.0,0.0001375,0.000137499999,9.999999960041972e-13,0.0015,0.00150000001,9.999999960041972e-12,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,20,0.00010000000000000002,0.001415073940793384,0.00141507341,5.307933838554629e-10,0.03150000000000001,0.0314999931,6.900000008858154e-09,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,40,0.00020000000000000004,0.0026669376906195003,0.00266693579,1.9006195003251625e-09,0.061500000000000034,0.0614999793,2.0700000033513355e-08,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,60,0.00030000000000000003,0.003913337234397009,0.00391334062,3.3856029906659257e-09,0.09150000000000005,0.0915000364,3.63999999447584e-08,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,80,0.0004000000000000001,0.005187380726223287,0.00518738991,9.183776713064806e-09,0.12150000000000008,0.121500097,9.699999992118791e-08,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,100,0.0005000000000000001,0.006418571561069313,0.00641857414,2.5789306870582784e-09,0.1515000000000001,0.151500031,3.099999990041624e-08,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,120,0.0006000000000000001,0.007702468738827001,0.00770246331,5.4288270007890604e-09,0.18150000000000013,0.181499943,5.700000013653117e-08,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,140,0.0007000000000000001,0.008927875505843568,0.00892786216,1.3345843569156912e-08,0.21150000000000016,0.211499855,1.4500000017347858e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,160,0.0008000000000000001,0.010214505000391758,0.0102144843,2.070039175836036e-08,0.2415000000000002,0.241499767,2.3300000018267042e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,180,0.0009000000000000002,0.011439429298771378,0.0114394212,8.098771379222436e-09,0.2715000000000002,0.271499902,9.800000017046173e-08,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,200,0.0010000000000000002,0.012724919459388945,0.0127249304,1.0940611055998417e-08,0.3015000000000002,0.301500112,1.1199999977451469e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,220,0.0011000000000000003,0.013952116387478364,0.0139521463,2.991252163499214e-08,0.33150000000000024,0.331500322,3.2199999977500227e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,240,0.0012000000000000001,0.015234577509328908,0.0152346259,4.839067109171924e-08,0.36150000000000027,0.361500531,5.309999997482606e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,260,0.0013000000000000002,0.01646527195183622,0.0164653379,6.59481637806103e-08,0.3915000000000003,0.391500741,7.40999999693237e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,280,0.0014000000000000002,0.01774398442630473,0.0177440718,8.737369527195282e-08,0.4215000000000003,0.421500951,9.509999996937246e-07,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,300,0.0015000000000000002,0.01897851705684222,0.0189786237,1.0664315778022293e-07,0.45150000000000035,0.451501161,1.160999999638701e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,320,0.0016000000000000003,0.020253419607028807,0.0202535447,1.2509297119336904e-07,0.48150000000000037,0.481501371,1.3709999996391886e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,340,0.0017000000000000003,0.02149165026667294,0.0214917921,1.4183332705877683e-07,0.5115,0.511501551,1.551000000099556e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,360,0.0018000000000000004,0.022763023844915926,0.0227631833,1.5945508407416709e-07,0.5414999999999989,0.54150176,1.7600000011830375e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,380,0.0019000000000000002,0.02400457757659357,0.0240047593,1.817234064303841e-07,0.5714999999999978,0.57150197,1.970000002238237e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,400,0.0020000000000000005,0.025272855396738434,0.0252730548,1.994032615658392e-07,0.6014999999999967,0.60150218,2.1800000032934364e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,420,0.0021000000000000003,0.02651726771596179,0.0265174862,2.184840382085662e-07,0.6314999999999956,0.63150239,2.390000004348636e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,440,0.0022000000000000006,0.027782925467055058,0.0277831648,2.3933294494155044e-07,0.6614999999999945,0.6615026,2.6000000055148575e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,460,0.0023000000000000004,0.029029724110901437,0.0290299803,2.5618909856375827e-07,0.6914999999999935,0.69150281,2.810000006570057e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,480,0.0024000000000000002,0.030293220241138317,0.0302934982,2.779588616844131e-07,0.7214999999999924,0.721503019,3.0190000076535384e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,500,0.0025000000000000005,0.03154196767877872,0.0315422639,2.96221221281201e-07,0.7514999999999913,0.751503229,3.229000008708738e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,520,0.0026000000000000003,0.032803714221606446,0.0328040309,3.1667839355681293e-07,0.7814999999999902,0.781503439,3.4390000097639373e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,540,0.0027000000000000006,0.034054026581378606,0.0340543613,3.3471862139616837e-07,0.8114999999999891,0.811503649,3.649000010930159e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,560,0.0028000000000000004,0.035314378017361904,0.0353147313,3.532826380950316e-07,0.841499999999988,0.841503859,3.8590000119853585e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,580,0.0029000000000000007,0.036565930382453524,0.0365663022,3.718175464739737e-07,0.871499999999987,0.871504068,4.06800001306884e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,600,0.0030000000000000005,0.037825182652391216,0.0378255732,3.9054760878065586e-07,0.9014999999999859,0.901504278,4.278000014124039e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,620,0.0031000000000000003,0.039077706940212585,0.0390781164,4.0945978741629974e-07,0.9314999999999848,0.931504488,4.488000015179239e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,640,0.0032000000000000006,0.04033610173875764,0.0403365307,4.2896124236024846e-07,0.9614999999999837,0.961504698,4.6980000163454605e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,660,0.0033000000000000004,0.0415893809554372,0.0415898301,4.4914456280575887e-07,0.9914999999999826,0.991504908,4.90800001740066e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,680,0.0034000000000000007,0.0428471123774632,0.0428475812,4.6882253679908503e-07,1.0214999999999832,1.02150512,5.120000016844983e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,700,0.0035000000000000005,0.04410097348665498,0.0441014655,4.920133450173059e-07,1.0514999999999843,1.05150533,5.330000015568714e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,720,0.0036000000000000008,0.04535819533385725,0.0453587063,5.109661427513124e-07,1.0814999999999855,1.08150554,5.54000001451449e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,740,0.0037000000000000006,0.046612502000398445,0.0466130264,5.243996015549812e-07,1.1114999999999866,1.11150575,5.750000013460266e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,760,0.0038000000000000004,0.04786933482707794,0.0478698798,5.44972922060516e-07,1.1414999999999877,1.14150596,5.960000012183997e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,780,0.0039000000000000007,0.04912398069142245,0.0491245501,5.694085775456714e-07,1.1714999999999889,1.17150617,6.170000011129773e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,800,0.004000000000000001,0.05038051813905853,0.0503811017,5.83560941472272e-07,1.20149999999999,1.20150638,6.380000010075548e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,820,0.0041,0.05163542091494455,0.0516360216,6.006850554463039e-07,1.2314999999999912,1.23150659,6.590000008799279e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,840,0.004200000000000001,0.052891735163166795,0.0528923608,6.256368332083206e-07,1.2614999999999923,1.2615068,6.800000007745055e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,860,0.004300000000000001,0.054146831640830374,0.0541474707,6.390591696242565e-07,1.2914999999999934,1.29150701,7.010000006468786e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,880,0.004400000000000001,0.05540297795892542,0.0554036386,6.606410745818581e-07,1.3214999999999946,1.32150722,7.220000005414562e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,900,0.0045000000000000005,0.056658219881785564,0.0566588975,6.776182144355158e-07,1.3514999999999957,1.35150743,7.430000004360338e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,920,0.004600000000000001,0.05791424034635244,0.0579149388,6.984536475643233e-07,1.3814999999999968,1.38150764,7.640000003084069e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,940,0.004700000000000001,0.059169591073129045,0.0591703132,7.22126870952855e-07,1.411499999999998,1.41150784,7.840000002090619e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,960,0.0048000000000000004,0.06042551755385085,0.0604262576,7.400461491460786e-07,1.4414999999999991,1.44150805,8.05000000081435e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,980,0.004900000000000001,0.06168094939663333,0.0616817065,7.571033666733951e-07,1.4715000000000003,1.47150826,8.259999999760126e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,1000,0.005000000000000001,0.06293680592239374,0.06293758,7.7407760626369e-07,1.5015000000000014,1.50150847,8.469999998705902e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,1020,0.005100000000000001,0.0641922980491652,0.0641930923,7.942508348096622e-07,1.5315000000000025,1.53150868,8.679999997429633e-06,0.0,0.0,0.0,1,1,0,0,True,True
soft_start_40ms,1040,0.005200000000000001,0.0654481026627946,0.0654489174,8.147372053957103e-07,1.5615000000000037,1.56150889,8.889999996375408e-06,0.0,0.0,0.0,1,1,0,0,True,True
