case,index,vin_true_v,vout_true_v,iout_true_a,temperature_true_c,vin_mapped_v,vout_mapped_v,iout_mapped_a,temperature_mapped_c,vin_code,vout_code,iout_code,temperature_code,vin_q20,vout_q20,iout_q20,temperature_q20,input_code_clamped,physical_value_clamped,arithmetic_overflow
nominal_sweep,78,17.8,6.24,2.925,34.6,17.800822258,6.23897361755,2.92509269714,34.6154003143,2401,1580,1576,1050,18665515,6542038,3067182,36296878,False,False,False
nominal_sweep,79,17.9,6.32,2.9625,35.3,17.8972015381,6.32189655304,2.96337032318,35.2601003647,2414,1601,1595,1058,18766576,6628989,3107319,36972895,False,False,False
nominal_sweep,80,18.0,6.4,3.0,36.0,18.000995636,6.40087032318,2.99963283539,35.9853000641,2428,1621,1613,1067,18875412,6711799,3145343,37733322,False,False,False
nominal_sweep,81,18.1,6.48,3.0375,36.7,18.0973749161,6.47984790802,3.03791236877,36.7105998993,2441,1641,1632,1076,18976473,6794613,3185482,38493854,False,False,False
nominal_sweep,82,18.2,6.56,3.075,37.4,18.2011699677,6.55882167816,3.07417488098,37.4358997345,2455,1661,1650,1085,19085310,6877423,3223506,39254386,False,False,False
nominal_sweep,83,18.3,6.64,3.1125,38.1,18.2975492477,6.64174461365,3.11245536804,38.0805997849,2468,1682,1669,1093,19186371,6964374,3263646,39930403,False,False,False
nominal_sweep,84,18.4,6.72,3.15,38.8,18.4013519287,6.72071743011,3.15073204041,38.8058996201,2482,1702,1688,1102,19295216,7047183,3303782,40690935,False,False,False
nominal_sweep,85,18.5,6.8,3.1875,39.5,18.4977312088,6.79969120026,3.18699741364,39.5311002731,2495,1722,1706,1111,19396277,7129993,3341809,41451363,False,False,False
nominal_sweep,86,18.6,6.88,3.225,40.2,18.6015262604,6.8786687851,3.22527503967,40.1758003235,2509,1742,1725,1119,19505114,7212807,3381946,42127380,False,False,False
nominal_sweep,87,18.7,6.96,3.2625,40.9,18.6979055405,6.96159172058,3.26153755188,40.9011001587,2522,1763,1743,1128,19606175,7299758,3419970,42887912,False,False,False
nominal_sweep,88,18.8,7.04,3.3,41.6,18.8016996384,7.04056453705,3.29981708527,41.6263999939,2536,1783,1762,1137,19715011,7382567,3460109,43648444,False,False,False
nominal_sweep,89,18.9,7.12,3.3375,42.3,18.8980789185,7.11953830719,3.3380947113,42.2711000443,2549,1803,1781,1145,19816072,7465377,3500246,44324461,False,False,False
nominal_sweep,90,19.0,7.2,3.375,43.0,19.0018730164,7.19851112366,3.37436008453,42.9962997437,2563,1823,1799,1154,19924908,7548186,3538273,45084888,False,False,False
nominal_sweep,91,19.1,7.28,3.4125,43.7,19.0982522964,7.28143405914,3.41263771057,43.7215995789,2576,1844,1818,1163,20025969,7635137,3578410,45845420,False,False,False
nominal_sweep,92,19.2,7.36,3.45,44.4,19.2020463943,7.36041259766,3.45091533661,44.3662996292,2590,1864,1837,1171,20134805,7717952,3618547,46521437,False,False,False
nominal_sweep,93,19.3,7.44,3.4875,45.1,19.2984352112,7.43938541412,3.48717975616,45.0916004181,2603,1884,1855,1180,20235876,7800761,3656573,47281970,False,False,False
